quarter,level_1,value
1995-Q1,Net Weighted Balance (%),12
1995-Q1,Up (%),26
1995-Q1,Same (%),60
1995-Q1,Down (%),14
1995-Q2,Net Weighted Balance (%),17
1995-Q2,Up (%),29
1995-Q2,Same (%),59
1995-Q2,Down (%),12
1995-Q3,Net Weighted Balance (%),29
1995-Q3,Up (%),35
1995-Q3,Same (%),59
1995-Q3,Down (%),6
1995-Q4,Net Weighted Balance (%),8
1995-Q4,Up (%),24
1995-Q4,Same (%),60
1995-Q4,Down (%),16
1996-Q1,Net Weighted Balance (%),1
1996-Q1,Up (%),24
1996-Q1,Same (%),53
1996-Q1,Down (%),23
1996-Q2,Net Weighted Balance (%),18
1996-Q2,Up (%),33
1996-Q2,Same (%),52
1996-Q2,Down (%),15
1996-Q3,Net Weighted Balance (%),18
1996-Q3,Up (%),32
1996-Q3,Same (%),54
1996-Q3,Down (%),14
1996-Q4,Net Weighted Balance (%),7
1996-Q4,Up (%),24
1996-Q4,Same (%),59
1996-Q4,Down (%),17
1997-Q1,Net Weighted Balance (%),2
1997-Q1,Up (%),22
1997-Q1,Same (%),58
1997-Q1,Down (%),20
1997-Q2,Net Weighted Balance (%),22
1997-Q2,Up (%),32
1997-Q2,Same (%),58
1997-Q2,Down (%),10
1997-Q3,Net Weighted Balance (%),16
1997-Q3,Up (%),29
1997-Q3,Same (%),58
1997-Q3,Down (%),13
1997-Q4,Net Weighted Balance (%),-22
1997-Q4,Up (%),14
1997-Q4,Same (%),50
1997-Q4,Down (%),36
1998-Q1,Net Weighted Balance (%),-33
1998-Q1,Up (%),10
1998-Q1,Same (%),47
1998-Q1,Down (%),43
1998-Q2,Net Weighted Balance (%),-22
1998-Q2,Up (%),16
1998-Q2,Same (%),46
1998-Q2,Down (%),38
1998-Q3,Net Weighted Balance (%),-33
1998-Q3,Up (%),10
1998-Q3,Same (%),47
1998-Q3,Down (%),43
1998-Q4,Net Weighted Balance (%),-29
1998-Q4,Up (%),8
1998-Q4,Same (%),55
1998-Q4,Down (%),37
1999-Q1,Net Weighted Balance (%),-17
1999-Q1,Up (%),12
1999-Q1,Same (%),59
1999-Q1,Down (%),29
1999-Q2,Net Weighted Balance (%),11
1999-Q2,Up (%),27
1999-Q2,Same (%),57
1999-Q2,Down (%),16
1999-Q3,Net Weighted Balance (%),24
1999-Q3,Up (%),36
1999-Q3,Same (%),52
1999-Q3,Down (%),12
1999-Q4,Net Weighted Balance (%),24
1999-Q4,Up (%),34
1999-Q4,Same (%),56
1999-Q4,Down (%),10
2000-Q1,Net Weighted Balance (%),24
2000-Q1,Up (%),35
2000-Q1,Same (%),54
2000-Q1,Down (%),11
2000-Q2,Net Weighted Balance (%),26
2000-Q2,Up (%),36
2000-Q2,Same (%),54
2000-Q2,Down (%),10
2000-Q3,Net Weighted Balance (%),26
2000-Q3,Up (%),36
2000-Q3,Same (%),54
2000-Q3,Down (%),10
2000-Q4,Net Weighted Balance (%),3
2000-Q4,Up (%),22
2000-Q4,Same (%),59
2000-Q4,Down (%),19
2001-Q1,Net Weighted Balance (%),5
2001-Q1,Up (%),29
2001-Q1,Same (%),47
2001-Q1,Down (%),24
2001-Q2,Net Weighted Balance (%),-19
2001-Q2,Up (%),17
2001-Q2,Same (%),47
2001-Q2,Down (%),36
2001-Q3,Net Weighted Balance (%),-41
2001-Q3,Up (%),8
2001-Q3,Same (%),43
2001-Q3,Down (%),49
2001-Q4,Net Weighted Balance (%),-23
2001-Q4,Up (%),15
2001-Q4,Same (%),47
2001-Q4,Down (%),38
2002-Q1,Net Weighted Balance (%),-3
2002-Q1,Up (%),28
2002-Q1,Same (%),41
2002-Q1,Down (%),31
2002-Q2,Net Weighted Balance (%),18
2002-Q2,Up (%),38
2002-Q2,Same (%),42
2002-Q2,Down (%),20
2002-Q3,Net Weighted Balance (%),10
2002-Q3,Up (%),27
2002-Q3,Same (%),56
2002-Q3,Down (%),17
2002-Q4,Net Weighted Balance (%),-6
2002-Q4,Up (%),20
2002-Q4,Same (%),54
2002-Q4,Down (%),26
2003-Q1,Net Weighted Balance (%),-27
2003-Q1,Up (%),10
2003-Q1,Same (%),53
2003-Q1,Down (%),37
2003-Q2,Net Weighted Balance (%),19
2003-Q2,Up (%),36
2003-Q2,Same (%),47
2003-Q2,Down (%),17
2003-Q3,Net Weighted Balance (%),28
2003-Q3,Up (%),43
2003-Q3,Same (%),42
2003-Q3,Down (%),15
2003-Q4,Net Weighted Balance (%),18
2003-Q4,Up (%),36
2003-Q4,Same (%),46
2003-Q4,Down (%),18
2004-Q1,Net Weighted Balance (%),31
2004-Q1,Up (%),41
2004-Q1,Same (%),49
2004-Q1,Down (%),10
2004-Q2,Net Weighted Balance (%),31
2004-Q2,Up (%),45
2004-Q2,Same (%),41
2004-Q2,Down (%),14
2004-Q3,Net Weighted Balance (%),30
2004-Q3,Up (%),39
2004-Q3,Same (%),52
2004-Q3,Down (%),9
2004-Q4,Net Weighted Balance (%),12
2004-Q4,Up (%),30
2004-Q4,Same (%),52
2004-Q4,Down (%),18
2005-Q1,Net Weighted Balance (%),19
2005-Q1,Up (%),32
2005-Q1,Same (%),55
2005-Q1,Down (%),13
2005-Q2,Net Weighted Balance (%),26
2005-Q2,Up (%),34
2005-Q2,Same (%),58
2005-Q2,Down (%),8
2005-Q3,Net Weighted Balance (%),22
2005-Q3,Up (%),33
2005-Q3,Same (%),56
2005-Q3,Down (%),11
2005-Q4,Net Weighted Balance (%),18
2005-Q4,Up (%),31
2005-Q4,Same (%),56
2005-Q4,Down (%),13
2006-Q1,Net Weighted Balance (%),25
2006-Q1,Up (%),34
2006-Q1,Same (%),57
2006-Q1,Down (%),9
2006-Q2,Net Weighted Balance (%),23
2006-Q2,Up (%),31
2006-Q2,Same (%),61
2006-Q2,Down (%),8
2006-Q3,Net Weighted Balance (%),24
2006-Q3,Up (%),33
2006-Q3,Same (%),58
2006-Q3,Down (%),9
2006-Q4,Net Weighted Balance (%),18
2006-Q4,Up (%),32
2006-Q4,Same (%),54
2006-Q4,Down (%),14
2007-Q1,Net Weighted Balance (%),22
2007-Q1,Up (%),32
2007-Q1,Same (%),58
2007-Q1,Down (%),10
2007-Q2,Net Weighted Balance (%),28
2007-Q2,Up (%),37
2007-Q2,Same (%),54
2007-Q2,Down (%),9
2007-Q3,Net Weighted Balance (%),23
2007-Q3,Up (%),32
2007-Q3,Same (%),59
2007-Q3,Down (%),9
2007-Q4,Net Weighted Balance (%),8
2007-Q4,Up (%),23
2007-Q4,Same (%),62
2007-Q4,Down (%),15
2008-Q1,Net Weighted Balance (%),3
2008-Q1,Up (%),23
2008-Q1,Same (%),57
2008-Q1,Down (%),20
2008-Q2,Net Weighted Balance (%),2
2008-Q2,Up (%),24
2008-Q2,Same (%),54
2008-Q2,Down (%),22
2008-Q3,Net Weighted Balance (%),-15
2008-Q3,Up (%),15
2008-Q3,Same (%),55
2008-Q3,Down (%),30
2008-Q4,Net Weighted Balance (%),-53
2008-Q4,Up (%),5
2008-Q4,Same (%),37
2008-Q4,Down (%),58
2009-Q1,Net Weighted Balance (%),-48
2009-Q1,Up (%),5
2009-Q1,Same (%),42
2009-Q1,Down (%),53
2009-Q2,Net Weighted Balance (%),-3
2009-Q2,Up (%),21
2009-Q2,Same (%),55
2009-Q2,Down (%),24
2009-Q3,Net Weighted Balance (%),17
2009-Q3,Up (%),28
2009-Q3,Same (%),61
2009-Q3,Down (%),11
2009-Q4,Net Weighted Balance (%),24
2009-Q4,Up (%),35
2009-Q4,Same (%),54
2009-Q4,Down (%),11
2010-Q1,Net Weighted Balance (%),36
2010-Q1,Up (%),45
2010-Q1,Same (%),46
2010-Q1,Down (%),9
2010-Q2,Net Weighted Balance (%),33
2010-Q2,Up (%),39
2010-Q2,Same (%),55
2010-Q2,Down (%),6
2010-Q3,Net Weighted Balance (%),27
2010-Q3,Up (%),35
2010-Q3,Same (%),57
2010-Q3,Down (%),8
2010-Q4,Net Weighted Balance (%),19
2010-Q4,Up (%),31
2010-Q4,Same (%),57
2010-Q4,Down (%),12
2011-Q1,Net Weighted Balance (%),17
2011-Q1,Up (%),29
2011-Q1,Same (%),59
2011-Q1,Down (%),12
2011-Q2,Net Weighted Balance (%),19
2011-Q2,Up (%),26
2011-Q2,Same (%),67
2011-Q2,Down (%),7
2011-Q3,Net Weighted Balance (%),-9
2011-Q3,Up (%),16
2011-Q3,Same (%),59
2011-Q3,Down (%),25
2011-Q4,Net Weighted Balance (%),-25
2011-Q4,Up (%),10
2011-Q4,Same (%),55
2011-Q4,Down (%),35
2012-Q1,Net Weighted Balance (%),6
2012-Q1,Up (%),21
2012-Q1,Same (%),64
2012-Q1,Down (%),15
2012-Q2,Net Weighted Balance (%),2
2012-Q2,Up (%),19
2012-Q2,Same (%),64
2012-Q2,Down (%),17
2012-Q3,Net Weighted Balance (%),1
2012-Q3,Up (%),19
2012-Q3,Same (%),63
2012-Q3,Down (%),18
2012-Q4,Net Weighted Balance (%),-5
2012-Q4,Up (%),14
2012-Q4,Same (%),67
2012-Q4,Down (%),19
2013-Q1,Net Weighted Balance (%),6
2013-Q1,Up (%),20
2013-Q1,Same (%),66
2013-Q1,Down (%),14
2013-Q2,Net Weighted Balance (%),9
2013-Q2,Up (%),21
2013-Q2,Same (%),67
2013-Q2,Down (%),12
2013-Q3,Net Weighted Balance (%),8
2013-Q3,Up (%),18
2013-Q3,Same (%),72
2013-Q3,Down (%),10
2013-Q4,Net Weighted Balance (%),1
2013-Q4,Up (%),15
2013-Q4,Same (%),71
2013-Q4,Down (%),14
2014-Q1,Net Weighted Balance (%),5
2014-Q1,Up (%),15
2014-Q1,Same (%),75
2014-Q1,Down (%),10
2014-Q2,Net Weighted Balance (%),13
2014-Q2,Up (%),21
2014-Q2,Same (%),71
2014-Q2,Down (%),8
2014-Q3,Net Weighted Balance (%),7
2014-Q3,Up (%),18
2014-Q3,Same (%),71
2014-Q3,Down (%),11
2014-Q4,Net Weighted Balance (%),-4
2014-Q4,Up (%),13
2014-Q4,Same (%),70
2014-Q4,Down (%),17
2015-Q1,Net Weighted Balance (%),3
2015-Q1,Up (%),16
2015-Q1,Same (%),71
2015-Q1,Down (%),13
2015-Q2,Net Weighted Balance (%),2
2015-Q2,Up (%),17
2015-Q2,Same (%),68
2015-Q2,Down (%),15
2015-Q3,Net Weighted Balance (%),-6
2015-Q3,Up (%),15
2015-Q3,Same (%),64
2015-Q3,Down (%),21
2015-Q4,Net Weighted Balance (%),-18
2015-Q4,Up (%),10
2015-Q4,Same (%),62
2015-Q4,Down (%),28
2016-Q1,Net Weighted Balance (%),-13
2016-Q1,Up (%),12
2016-Q1,Same (%),63
2016-Q1,Down (%),25